stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
7502,558,Estação Ermesinde,,41.2166917263874,-8.55363312700348,,,,
7503,559,Forum Ermesinde,,41.2157383415464,-8.55311898027224,,,,
7504,560,Igreja Ermesinde,,41.2191084535178,-8.55312477719995,,,,
7505,223,MaiaShopping,,41.2207344117503,-8.56075255304174,,,,
7506,224,MaiaShopping,,41.220706812897,-8.56066147859938,,,,
7507,561,Rodrigues Freitas,,41.2218512758232,-8.55779334562564,,,,
7508,562,Rio Leça,,41.2247624998985,-8.55515485179169,,,,
7509,563,Travagem,,41.2263942956063,-8.55395434271648,,,,
7510,218,TV Simões Lopes,,41.228732378918,-8.55530416804973,,,,
7511,219,Sampaio,,41.2297519611144,-8.55844262637957,,,,
7512,220,Central Sampaio,,41.2296154491683,-8.56049844060948,,,,
7513,221,Pedro Hispano,,41.2283367587137,-8.56237864803876,,,,
7514,226,Ardegães,,41.227196095935,-8.56691143924415,,,,
7515,227,Prof. Augusto Rezende,,41.2280097777972,-8.56819770673678,,,,
7516,228,Centro Inspecções,,41.2290901021685,-8.56989332321449,,,,
7517,0,Pinhal,,41.2307495981973,-8.57251394197929,,,,
7518,230,Primavera (Nogueira),,41.230970396279,-8.57529991505656,,,,
7519,231,Monte Penedo,,41.22862738658,-8.58017829867215,,,,
7520,232,Rio,,41.2285736514584,-8.58614533539108,,,,
7521,233,António Moreira da Silva,,41.2322234396245,-8.59168750943438,,,,
7522,234,TV Dr. Augusto Martins,,41.2331418988479,-8.59309528364955,,,,
7523,235,Jorge Ferreirinha,,41.2346493024011,-8.59570775298564,,,,
7524,236,Agostinho Silva Rocha,,41.2357245109394,-8.59771541276637,,,,
7525,237,Cavaco,,41.2373127785705,-8.60224714760758,,,,
7526,238,Souto,,41.237092165382,-8.60566388389623,,,,
7527,239,D. Manuel II,,41.2368108585541,-8.60891597706354,,,,
7528,240,Altos,,41.2365134145594,-8.61310499713965,,,,
7529,241,Estádio Maia,,41.2363176892434,-8.61572543947149,,,,
7530,242,Sobreiro,,41.2338843264596,-8.62050363176033,,,,
7531,837,Maia,,41.2327286676197,-8.62367591603042,,,,
7532,477,Maia - Câmara Municipal,,41.2325101201991,-8.62139921322307,,,,
7533,283,Sobreiro,,41.2339332767881,-8.62045332128012,,,,
7534,284,Estádio Maia,,41.2362462632234,-8.61645012140672,,,,
7535,285,Altos,,41.2365231023942,-8.6129822741885,,,,
7536,286,D. Manuel II,,41.2367990441585,-8.60902841007776,,,,
7537,287,Souto,,41.2370971161139,-8.60557277777792,,,,
7538,289,Agostinho SIlva Rocha,,41.2357092807069,-8.59768640315384,,,,
7539,290,JOrge Ferreirinha,,41.2346323855651,-8.59567744416334,,,,
7540,291,TV Dr. Augusto Martins,,41.2331466424416,-8.59310269551315,,,,
7541,292,António Moreira Silva,,41.2323430844879,-8.59186284917122,,,,
7542,293,Rio Saída,,41.2300235456302,-8.58834959067861,,,,
7543,294,Rio,,41.2285872219093,-8.58616493689791,,,,
7544,295,Monte Penedo,,41.2286331550284,-8.58015650622711,,,,
7545,296,Primavera Nogueira,,41.2306720582657,-8.57562279752784,,,,
7546,297,Pinhal,,41.2307416382443,-8.57250093073264,,,,
7547,298,TV Ardegães,,41.2288773288456,-8.56955292061973,,,,
7548,299,Prof. Augusto Rezende,,41.2279970702537,-8.56817780333435,,,,
7549,300,Ardegães,,41.2271126213597,-8.56677231666422,,,,
7550,301,Pedro Hispano,,41.2283374213098,-8.56237607123211,,,,
7551,302,Samapio,,41.2297985400088,-8.55974627091908,,,,
7552,303,TV Simões LOpes,,41.2287932870827,-8.55546153975804,,,,
7553,554,Travagem,,41.2273058020019,-8.5540216359672,,,,
7554,555,Rio Leça,,41.2241876747693,-8.55579829612142,,,,
7555,556,Rodrigues Freitas,,41.2218572218526,-8.5577814534746,,,,
7556,557,Igreja Ermesinde,,41.2194767230634,-8.55345077175578,,,,
7557,833,Maia Forum,,41.2338735634731,-8.62389079192129,,,,
7558,834,Ferreira da Cruz,,41.2376009048628,-8.6250594397886,,,,
7559,391,Altino Coelho,,41.2393208400512,-8.62151325166679,,,,
7560,392,Pinta,,41.2420476521107,-8.62102089182494,,,,
7561,393,Aquilino Ribeiro,,41.2455625277765,-8.61870035021378,,,,
7562,394,Hipermercado,,41.2475053377399,-8.61793505993641,,,,
7563,395,Velha de Mandim,,41.2499445257347,-8.61778114080921,,,,
7801,477,Maia - Câmara Municipal,,41.2325101201991,-8.62139921322307,,,,
7802,283,Sobreiro,,41.2339332767881,-8.62045332128012,,,,
7803,284,Estádio Maia,,41.2362462632234,-8.61645012140673,,,,
7804,285,Altos,,41.2365231023942,-8.6129822741885,,,,
7805,286,D. Manuel II,,41.2367990441586,-8.60902841007776,,,,
7806,287,Souto,,41.2370971161139,-8.60557277777792,,,,
7807,288,Cavaco,,41.2373409603102,-8.60187271491318,,,,
7808,289,Agostinho SIlva Rocha,,41.2357092807069,-8.59768640315384,,,,
7809,290,Jorge Ferreirinha,,41.2346323855651,-8.59567744416333,,,,
7810,291,TV Dr. Augusto Martins,,41.2331466424416,-8.59310269551315,,,,
7811,292,António Moreira Silva,,41.2323430844879,-8.59186284917122,,,,
7812,293,Rio Saída,,41.2300235456302,-8.58834959067861,,,,
7813,294,Rio,,41.2285872219093,-8.58616493689791,,,,
7814,295,Monte Penedo,,41.2286331550284,-8.58015650622711,,,,
7815,296,Primavera Nogueira,,41.2306720582657,-8.57562279752784,,,,
