id;name;url;phone;fare_url;agency_color
5;São Gonçalo;http://www.horariosdofunchal.pt/index.php?option=com_payshop&task=payshop&inter=1&Itemid=386;+351291705555;http://www.horariosdofunchal.pt/index.php?option=com_content&task=view&id=53&Itemid=250;000000
1;Horários do Funchal;http://www.horariosdofunchal.pt/;+351291705555;http://www.horariosdofunchal.pt/index.php?option=com_content&task=view&id=65&Itemid=245;FF0000
0;Grupo Horários do Funchal;http://www.horariosdofunchal.pt/;351291705555;http://www.horariosdofunchal.pt;FFFFFF
