id;date;exception_type
22;20121201;2
22;20121208;2
23;20120221;1
23;20120408;1
23;20120406;1
23;20120425;1
23;20120501;1
23;20120528;1
23;20120607;1
23;20120610;1
23;20120815;1
23;20121005;1
23;20121101;1
23;20121201;1
23;20121208;1
23;20121225;1
23;20121226;1
11;20120405;1
11;20120220;1
11;20120222;1
11;20120326;1
11;20120327;1
11;20120328;1
11;20120329;1
11;20120330;1
11;20120402;1
11;20120403;1
11;20120404;1
21;20120221;2
21;20120406;1
21;20120425;2
21;20120501;2
21;20120528;2
21;20120607;2
21;20120610;2
21;20120815;2
21;20121005;2
21;20121101;2
21;20121225;2
21;20121226;2
21;20120220;2
21;20120222;2
21;20120326;2
21;20120327;2
21;20120328;2
21;20120329;2
21;20120330;2
21;20120402;2
21;20120403;2
21;20120404;2
21;20120405;2
