id;code;name;description;location;zone_id;station_id
2187;1120;Depois Escola do Galeão;Depois Escola do Galeão;POINT(-16.9298757887689 32.6704738186265);0;
1610;971;Monte-Lajinhas;Monte-Lajinhas;POINT(-16.9005820589951 32.6790860429995);0;
1044;910;CAM Terra Chã, Beco, D;CAM Terra Chã, Beco, D;POINT(-16.9401900875296 32.6651261178349);0;
446;394;Campo Futebol 1-Maio, D;Campo Futebol 1-Maio, D;POINT(-16.8658455876225 32.6657956603587);0;
419;85;CAM Virtudes, S;CAM Virtudes, S;POINT(-16.9316880934885 32.6508893890519);0;
461;949A;CAM Terra Chã, ESCL, S;CAM Terra Chã, ESCL, S;POINT(-16.9404995646924 32.6661217507768);0;
519;959;CAM Velho Quinta, S1A;CAM Velho Quinta, S1A;POINT(-16.9260863698032 32.6633670553268);0;
515;961;CAM Velho da Quinta, S2A;CAM Velho da Quinta, S2A;POINT(-16.9256460601384 32.6647044727833);0;
315;909A;Chamorra, T-10 Vasco Gil;Chamorra, T-10 Vasco Gil;POINT(-16.9521644043157 32.6836849767646);0;
2283;124;Antes Encontro S Roque;Antes Encontro S Roque;POINT(-16.9241347221061 32.6719073516105);0;
2282;1259;Caminho da Quinta, S6A;Caminho da Quinta, S6A;POINT(-16.9261645899606 32.6623386367656);0;
1692;873;Caminho da Lombada, S;Caminho da Lombada, S;POINT(-16.9645723442042 32.649930333511);0;
131;614;ESCL Francisco Franco, D;ESCL Francisco Franco, D;POINT(-16.904586674163 32.652607636325);0;
1043;910A;Antigo Centro Saude STO Antonio;Antigo Centro Saude STO Antonio;POINT(-16.9394490151817 32.6642062028794);0;
1747;554;Chão Marcos, Corj Fora, D;Chão Marcos, Corj Fora, D;POINT(-16.9109470315639 32.676648276113);0;
1701;881;Campo do Maritimo, S;Campo do Maritimo, S;POINT(-16.9361724853516 32.6715774536133);0;
2330;709F;CAM Três Paus, Viana, S;CAM Três Paus, Viana, S;POINT(-16.9554354227478 32.6690646860865);0;
1625;1052;Largo TV do Pomar, D;Largo TV do Pomar, D;POINT(-16.8892818748317 32.6637131732983);0;
1597;1076;TV Campo do Maritimo, D;TV Campo do Maritimo, D;POINT(-16.9368257922751 32.6697275716207);0;
2163;1119;R DR Caroço, BC Frias, S;R DR Caroço, BC Frias, S;POINT(-16.918261869905 32.6511161744982);0;
2160;111B;Depois Capela Preces;Depois Capela Preces;POINT(-16.9495109626163 32.6644726161848);0;
2470;1367;R Pedra Sina, Depois Sociedade;R Pedra Sina, Depois Sociedade;POINT(-16.8876391585879 32.6543736222639);0;
2239;1307;R DR Pita-Clube Tenis;R DR Pita-Clube Tenis;POINT(-16.9271377274304 32.645780612728);0;
