id;start_date;end_date;monday;tuesday;wednesday;thursday;friday;saturday;sunday
23;20120103;20120326;0;0;0;0;0;0;1
12;20120627;20120910;0;0;0;0;0;1;0
11;20120627;20120910;1;1;1;1;1;0;0
13;20120627;20120910;0;0;0;0;0;0;1
99;20120103;20120206;0;0;0;0;1;0;0
21;20120103;20120326;1;1;1;1;1;0;0
22;20120103;20120326;0;0;0;0;0;1;0
